Country name,Change,Rank
Pakistan,-39,1
Armenia,30,2
Jamaica,23,3
Croatia,19,4
Bahrain,18,5
Serbia,16,6
Gambia,15,7
El Salvador,-15,8
Ukraine,13,9
Benin,-13,10
Lebanon,-12,11
Albania,12,12
Mexico,-12,13
Turkey,-11,14
Mongolia,11,15
Estonia,11,16
China,10,17
Greece,9,18
Algeria,-9,19
Philippines,-9,20
Nicaragua,-9,21
Georgia,9,22
Senegal,9,23
Morocco,-9,24
Colombia,-8,25
Bulgaria,8,26
Jordan,-8,27
Ecuador,-8,28
Cambodia,-8,29
Venezuela,-8,30
Cameroon,7,31
Tajikistan,-7,32
Niger,7,33
Uganda,7,34
Kyrgyzstan,7,35
Myanmar,7,36
Japan,6,37
Egypt,6,38
Cyprus,6,39
Bangladesh,6,40
Tanzania,6,41
South Africa,6,42
Latvia,6,43
Tunisia,6,44
Bosnia and Herzegovina,5,45
Mozambique,5,46
Panama,-5,47
Uruguay,-5,48
Mauritania,-5,49
Yemen,5,50
Kazakhstan,5,51
Dominican Republic,-5,52
India,5,53
Moldova,5,54
Nepal,5,55
United Arab Emirates,-4,56
Liberia,4,57
Slovenia,4,58
United Kingdom,-4,59
Laos,4,60
Chile,-4,61
Gabon,-4,62
Afghanistan,4,63
Bolivia,-4,64
Paraguay,-4,65
Zambia,4,66
Uzbekistan,-4,67
Vietnam,4,68
Ghana,-4,69
Germany,4,70
Comoros,3,71
Russia,-3,72
Zimbabwe,3,73
Slovakia,3,74
Brazil,-3,75
Honduras,-3,76
Mali,-3,77
Canada,-3,78
Lithuania,3,79
Ethiopia,3,80
Rwanda,3,81
Turkmenistan,-2,82
Namibia,-2,83
Italy,2,84
Lesotho,-2,85
North Cyprus,2,86
Kosovo,2,87
Swaziland,2,88
Indonesia,2,89
Argentina,-2,90
Madagascar,2,91
Maldives,-2,92
Luxembourg,2,93
Israel,2,94
France,2,95
Hong Kong S.A.R. of China,1,96
Costa Rica,-1,97
New Zealand,-1,98
Haiti,-1,99
Singapore,-1,100
Ireland,1,101
Austria,-1,102
Iraq,-1,103
Norway,-1,104
Australia,1,105
Kuwait,1,106
Sri Lanka,1,107
Malawi,1,108
Romania,1,109
Azerbaijan,-1,110
Malta,-1,111
Burkina Faso,-1,112
Netherlands,1,113
Poland,-1,114
Guatemala,-1,115
South Korea,-1,116
Czech Republic,1,117
Chad,-1,118
Mauritius,-1,119
Botswana,1,120
Nigeria,-1,121
Spain,1,122
Sierra Leone,1,123
Saudi Arabia,1,124
Malaysia,1,125
Portugal,1,126
Togo,-1,127
Libya,0,128
Thailand,0,129
Peru,0,130
Finland,0,131
Sweden,0,132
Denmark,0,133
Montenegro,0,134
Ivory Coast,0,135
Iceland,0,136
Iran,0,137
Hungary,0,138
Kenya,0,139
Guinea,0,140
Belarus,0,141
Belgium,0,142
Switzerland,0,143
Burundi,0,144
